buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_funcs_executed_by_failing_TCs,#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
tf_importer.MUT77.cpp,23,2847,0,0,3,2873,3330,12432,1743,12494,14008,0.8919189034837236,0.8906339234723015,291,0,0,291,3330,0,0,1050,63
recurrent_layers.MUT159.cpp,12,2861,0,0,0,2873,1976,12481,0,12510,14008,0.8930611079383209,0.8930611079383209,173,0,0,173,1976,0,0,1050,63
onnx_importer.MUT1637.cpp,1,2872,0,0,0,2873,1242,12526,0,12542,14008,0.8953455168475157,0.8953455168475157,132,0,0,132,1242,0,0,1050,63
nary_eltwise_layers.MUT234.cpp,1,2872,0,0,0,2873,1245,12508,0,12542,14008,0.8953455168475157,0.8953455168475157,125,0,0,125,1245,0,0,1050,63
flow_warp_layer.MUT43.cpp,1,2872,0,0,0,2873,353,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,30,0,0,30,353,0,0,1050,63
onnx_importer.MUT461.cpp,15,2858,0,0,0,2873,1576,12322,0,12401,14008,0.8852798400913764,0.8852798400913764,141,0,0,141,1576,0,0,1050,63
einsum_layer.MUT282.cpp,2,2871,0,0,0,2873,1111,12471,0,12498,14008,0.892204454597373,0.892204454597373,104,0,0,104,1111,0,0,1050,63
torch_importer.MUT195.cpp,1,2870,0,0,2,2873,527,12521,503,12542,14008,0.8953455168475157,0.8953455168475157,59,0,0,59,527,0,0,1050,63
onnx_importer.MUT398.cpp,21,2851,0,0,1,2873,1865,12408,1883,12469,14008,0.8901342090234152,0.8901342090234152,170,0,0,170,1865,0,0,1050,63
tf_graph_simplifier.MUT516.cpp,5,2868,0,0,0,2873,2375,12493,0,12526,14008,0.8942033123929183,0.8942033123929183,209,0,0,209,2375,0,0,1050,63
tf_graph_simplifier.MUT264.cpp,1,2872,0,0,0,2873,1043,12533,0,12542,14008,0.8953455168475157,0.8953455168475157,91,0,0,91,1043,0,0,1050,63
convolution_layer.MUT60.cpp,8,2226,0,0,639,2873,1593,11843,6746,12540,14008,0.895202741290691,0.8478726442033124,153,0,0,153,1593,0,0,1050,63
attention_layer.MUT5.cpp,2,2871,0,0,0,2873,1424,12434,0,12542,14008,0.8953455168475157,0.8953455168475157,128,0,0,128,1424,0,0,1050,63
onnx_graph_simplifier.MUT511.cpp,3,2870,0,0,0,2873,1437,12503,0,12541,14008,0.8952741290691034,0.8952741290691034,140,0,0,140,1437,0,0,1050,63
pooling_layer.MUT191.cpp,81,2518,0,0,274,2873,5796,11761,4998,12542,14008,0.8953455168475157,0.8853512278697887,510,0,0,510,5796,0,0,1050,63
attention_layer.MUT11.cpp,3,2870,0,0,0,2873,1217,12326,0,12404,14008,0.8854940034266133,0.8854940034266133,115,0,0,115,1217,0,0,1050,63
gemm_layer.MUT15.cpp,23,2850,0,0,0,2873,3726,12401,0,12456,13982,0.8908596767272207,0.8908596767272207,344,0,0,344,3726,0,0,1050,63
nary_eltwise_layers.MUT130.cpp,42,2818,0,0,13,2873,5151,12313,4002,12537,14008,0.8949885779554541,0.8924186179326099,457,0,0,457,5151,0,0,1050,63
fast_norm.MUT54.cpp,10,2854,0,0,6,2870,1071,12490,1071,12543,14009,0.8953529873652651,0.8953529873652651,106,0,0,106,1071,0,0,1050,63
elementwise_layers.MUT500.cpp,1,2838,0,0,34,2873,1097,12476,1198,12527,14009,0.8942108644442858,0.8927118281105004,100,0,0,100,1097,0,0,1050,63
tf_graph_simplifier.MUT278.cpp,142,2729,0,0,2,2873,2771,10953,360,11256,14008,0.8035408338092519,0.8035408338092519,248,0,0,248,2771,0,0,1050,63
permute_layer.MUT53.cpp,12,2817,0,0,9,2838,3265,11848,3608,12208,14008,0.8715019988577956,0.8640062821245003,293,0,0,293,3265,0,0,1050,63
onnx_importer.MUT715.cpp,1,2856,0,0,0,2857,818,12522,0,12535,14008,0.8948458023986293,0.8948458023986293,90,0,0,90,818,0,0,1050,63
